136,19200
393,65662
265,40051
522,88543
779,139485
651,116292
908,176975
155,22285
283,47693
412,66031
540,96378
669,115288
797,141158
926,165977
173,25953
302,46340
430,76196
687,145138
559,94751
944,177736
816,158232
191,29253
448,78316
320,51141
577,106178
834,171925
706,128290
963,173103
338,58756
210,33272
595,101923
467,77398
724,139592
853,181932
981,210923
228,34364
100,12391
357,61533
485,81140
614,107901
742,138023
871,151280
1000,187242
118,14817
246,37776
375,68666
504,83909
632,117258
889,164141
761,139062
