136,21706
393,80054
265,50188
522,108704
779,170333
651,148275
908,212845
283,57092
155,25858
540,112965
412,81086
797,181254
669,153003
926,213610
173,30018
430,87550
302,61645
687,159039
559,127200
944,218031
816,193752
191,33508
448,91483
320,64171
577,125783
834,197406
706,165372
963,227359
338,67299
210,36424
595,134887
467,99464
724,171649
981,229119
853,200468
100,14168
228,42484
485,100701
357,72587
742,165406
614,135849
871,197617
1000,226521
246,43973
118,17470
375,77938
632,144505
504,107429
889,205121
761,174977
