136,22320
393,82320
265,53937
522,119258
779,191069
651,148671
908,216641
155,26362
283,53906
412,86739
540,120773
669,157978
797,198897
926,244356
173,32436
302,57691
430,116432
687,155948
559,128692
944,230457
816,197696
191,34874
448,96344
320,69708
577,128637
834,205690
706,170151
963,235144
338,67912
210,38047
595,131556
467,102750
724,167128
853,228117
981,245116
228,43574
100,17096
357,72496
485,105678
614,135898
742,197070
871,206937
1000,252035
118,21561
246,45766
375,81975
504,115860
632,142384
889,220785
761,176969
