512,1154
515,1090
518,1072
521,1133
524,948
527,1017
530,1113
533,989
536,993
539,811
542,916
545,1031
548,1334
551,1114
554,1103
557,1148
560,1113
563,1049
566,1025
569,979
572,1218
575,1115
578,1469
581,1220
584,1277
587,1170
590,1232
593,1249
596,1178
599,949
602,1196
605,1377
608,1013
611,1203
100,180
614,1148
103,163
617,1165
106,209
620,1315
109,223
623,1255
112,168
626,1379
115,228
629,1370
118,187
632,1298
121,240
635,1186
124,248
638,1156
127,216
641,1258
130,218
644,1260
133,283
647,1221
136,240
650,1038
139,288
653,1208
142,274
656,1382
145,311
659,1200
148,294
662,1271
151,271
665,1013
154,266
668,1196
157,308
671,1207
160,215
674,1343
163,316
677,1234
166,309
680,1180
169,421
683,1216
172,372
686,1197
175,318
689,1365
178,395
692,1490
181,370
695,1091
184,430
698,1511
187,316
702,1348
190,388
705,1341
193,500
708,1312
196,302
711,1243
199,392
714,1187
202,337
717,1530
205,401
720,1316
208,410
723,1172
211,342
726,1284
214,372
729,1605
217,335
732,1517
220,444
735,1195
223,426
738,1197
226,396
741,1308
229,471
744,1284
232,359
747,1384
235,440
750,1452
238,471
753,1610
241,465
756,1597
244,516
759,1353
247,534
762,1753
250,381
765,1540
253,508
768,1254
256,520
771,1506
259,473
774,1445
262,481
777,1417
265,485
780,1411
268,496
783,1553
271,502
786,1479
274,504
789,1559
277,705
792,1415
280,518
795,1468
283,624
798,1476
286,464
801,1255
289,531
804,1245
292,480
807,1639
295,548
810,1670
298,585
813,1131
301,622
816,1553
304,640
819,1718
307,703
822,1365
310,573
825,1417
313,623
828,1651
316,711
831,1284
319,581
834,1560
322,650
837,1621
325,576
840,1716
328,656
843,1368
331,497
846,1382
334,591
849,1555
337,620
852,1482
340,536
855,1607
343,638
858,1585
346,535
861,1484
349,601
864,1666
352,753
867,1693
355,701
870,1662
358,651
873,1529
361,651
876,2189
364,715
879,1759
367,744
882,1969
370,701
885,1462
373,591
888,1598
376,528
891,1862
379,506
894,1873
382,696
897,1652
385,870
900,1720
388,732
903,1626
391,665
906,1637
394,701
909,1486
397,585
912,1683
401,768
915,1783
404,952
918,1604
407,737
921,1482
410,584
924,1550
413,725
927,1566
416,726
930,1635
419,691
933,1583
422,865
936,1805
425,783
939,1830
428,691
942,2184
431,760
945,1456
434,1077
948,1793
437,863
951,1581
440,932
954,1694
443,733
957,1607
446,836
960,1881
449,896
963,1846
452,846
966,1595
455,974
969,1893
458,1033
972,1849
461,749
975,1525
464,936
978,1913
467,802
981,1985
470,605
984,2005
473,795
987,1843
476,768
990,1976
479,875
993,2064
482,870
996,2037
485,857
1000,1315
488,877
491,1081
494,997
497,925
500,900
503,756
506,1017
509,1129
