136,25164
393,91258
265,58796
522,130234
779,194796
651,161300
908,243466
155,33677
283,67527
412,99102
540,127052
669,179458
797,218847
926,240260
173,34606
302,67301
430,103288
687,176605
559,141111
944,250292
816,218758
191,38853
448,107347
320,73570
577,142712
834,221235
706,177105
963,251494
338,78319
210,42977
595,144210
467,117829
724,201134
853,224278
981,260546
228,47010
100,17097
357,80912
485,117282
614,151186
742,202663
871,225450
1000,261439
118,20691
246,52713
375,88559
504,133878
632,162261
889,227614
761,195274
