136,17761
393,146664
265,66441
522,248964
779,354081
651,302832
908,414395
283,75242
155,22693
540,253921
412,161580
797,370107
669,309108
926,437165
173,28949
430,174914
302,85892
687,319931
559,270398
944,442496
816,369440
191,34598
448,190562
320,97698
577,271000
834,380373
706,325585
963,452764
338,108031
210,41807
595,285819
467,206670
724,332211
981,468999
853,401995
100,9717
228,49106
485,221905
357,120777
742,336218
614,293354
871,386481
1000,450737
246,57004
118,13508
375,133643
632,288761
504,238480
889,405154
761,343592
